el reloj;die Uhr;n;4.5
majestuoso;majestätisch;a;5.0
comer;essen;v;5.0
el tenedor;die Gabel;n;5.0
adverso;widrig, feindlich;a;5.0
la silla;der Stuhl;n;4.5
el barco;das Schiff;n;4.5
decir;sagen;v;5.0
hablar;sprechen;v;4.05
intermitente;Blinker;n;5.0
deslumbrante;blendend;a;5.0
espléndido;prächtig;a;5.0
cautivador;fesselnd;a;5.0
efímero;vergänglich;a;5.0
opulento;üppig;a;5.0
perplejo;ratlos;a;5.0
ostentoso;protzig;a;5.0
melancolía;Melancholie;n;5.0
apasionante;faszinierend;a;5.0
exquisito;auserlesen;a;5.0
deslumbrar;verblenden;v;5.0
cautivar;fesseln;v;5.0
enriquecer;bereichern;v;5.0
sobresaliente;herausragend;a;5.0
asombroso;erstaunlich;a;5.0
trascendental;bedeutend;a;5.0
desafío;Herausforderung;n;5.0
embelesar;verzaubern;v;5.0
magnífico;hervorragend;a;5.0
deslumbramiento;Blendung;n;5.0
apasionado;leidenschaftlich;a;5.0
cautivante;faszinierend;a;5.0
efervescencia;Sprudel;n;5.0
opulencia;Üppigkeit;n;5.0
perplejidad;Ratlosigkeit;n;5.0
esplendor;Pracht;n;5.0
euforia;Euphorie;n;5.0
asombro;Erstaunen;n;5.0
deslumbrador;blendend;a;5.0
magnanimidad;Großzügigkeit;n;5.0
cautivador;faszinierend;a;5.0
efímero;flüchtig;a;5.0
estupefacción;Verblüffung;n;5.0
asombroso;verblüffend;a;5.0
enigmático;rätselhaft;a;5.0
trascendental;überwältigend;a;5.0
iluminación;Erleuchtung;n;5.0
conmover;bewegen;v;5.0
fascinación;Faszination;n;5.0
deslumbrante;glänzend;a;5.0
desafiar;herausfordern;v;5.0
enriquecer;anreichern;v;5.0
sobresaliente;ausgezeichnet;a;5.0
apasionado;leidenschaftlich;a;5.0
magnífico;prächtig;a;5.0
perplejo;rätselhaft;a;5.0
cautivar;bezaubern;v;5.0
deslumbramiento;Blendung;n;5.0
opulencia;Üppigkeit;n;5.0
